,Page Name,Facebook Link,Url,General Information,General Information_2,General Information_3,General Information_4
10,VIP Car Care Center,https://web.facebook.com/VIPCARCARECENTER/?__tn__=%3C,[], 3 people like this 3 people follow this 2 people checked in here Automotive Repair Shop · Oil Lube & Filter Service ,Hours Closed now 8:00 AM - 6:00 PM ,Additional contact info +1 718-854-8822 Send message ,More info AboutLeading automotive repair shop located in the heart of Brooklyn new york. We specialize in all foreign and domestic car repairs.  
11,Auto PhD New York,https://web.facebook.com/autophdnewyork/?__tn__=%3C,['http://www.autophd.com/'], 267 people like this 285 people follow this 9 people checked in here Automotive Repair Shop · Motor vehicle company · Local Service ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.autophd.com/ +1 516-283-2100 info@autophd.com Send message 
12,CarMart Auto Services,https://web.facebook.com/carmartautoservices/?__tn__=%3C,['https://www.carmartautoservices.com/'], 537 people like this 539 people follow this Automotive Repair Shop · Car dealership · Tire Dealer & Repair Shop ,Hours Closed now 9:00 AM - 5:00 PM ,Additional contact info https://www.carmartautoservices.com/ +1 516-636-5600 info@melvilleautosales.com Send message ,More info AboutWelcome to Melville Auto Services Inc. We are a full service New York used car dealer located in Melville serving the towns of Suffolk County Plainview NY 
13,21 st century auto repair.,https://web.facebook.com/21-st-century-auto-repair-293196488065883/?__tn__=%3C,[], 24 people like this 24 people follow this Cars ,Hours Closed now 8:00 AM - 6:00 PM ,Additional contact info +1 917-640-2853 Send message ,More info Aboutwe fix any cars.  
14,New York Bad Credit Rescue,https://web.facebook.com/New-York-Bad-Credit-Rescue-352954558136341/?__tn__=%3C,['http://www.badcreditrescue.com/'], 9 people like this 9 people follow this Credit Counseling Service ,Hours Always open ,Business details Price range  · $$$$ ,Additional contact info http://www.badcreditrescue.com/ badcreditrescue@gmail.com Send message 
15,C&N Auto Repair,https://web.facebook.com/CNAutoRepairinc/?__tn__=%3C,[], 51 people like this 54 people follow this 21 people checked in here Automotive Repair Shop · Oil Lube & Filter Service · Tire Dealer & Repair Shop ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info +1 718-218-9319 ccaceres9158@yahoo.com Send message 
16,Car doctor auto repair & body work,https://web.facebook.com/Car-doctor-auto-repair-body-work-289508824717916/?__tn__=%3C,,,,,
17,Alpha Car Care,https://web.facebook.com/alphacarcare/?__tn__=%3C,['http://alphacarcare.com/'], 107 people like this 105 people follow this 63 people checked in here Automotive Repair Shop · Tire Dealer & Repair Shop · Oil Lube & Filter Service ,Hours Closed now 8:00 AM - 5:00 PM ,Business details Price range  · $$ ,Additional contact info http://alphacarcare.com/ +1 516-294-0852 vinnyjr@alphacollision.com Send message 
18,Thomas Auto Repair Service,https://web.facebook.com/Thomas-Auto-Repair-Service-425688817636663/?__tn__=%3C,[], 19 people like this 19 people follow this 4 people checked in here Automotive Repair Shop · Automotive Store · Gas Station ,Hours Closed now 7:30 AM - 5:00 PM ,Business details Price range  · $ ,Additional contact info +1 718-424-9006 thomasautorepairservice@gmail.com Send message 
19,New York University,https://web.facebook.com/NYU/?__tn__=%3C,,,,,
20,Car Repair + Rental Dhaka,https://web.facebook.com/recarbd/?__tn__=%3C,['http://recardbd.com/']," 3,460 people like this 3,593 people follow this Automotive Repair Shop ",Hours Always open ,Additional contact info http://recardbd.com/ 01621-996660 Typically replies within a daySend message ,More info AboutCar Repair Shop in Dhaka Offers free Wi-Fi 
21,Car Doctor Limited,https://web.facebook.com/cardoctorlimited/?__tn__=%3C,['http://www.cardoctorltd.com/']," 20,168 people like this including 1 of your friends 21,037 people follow this 207 people checked in here Automotive Repair Shop ",Hours Closed now 9:00 AM - 7:00 PM ,Additional contact info http://www.cardoctorltd.com/ 01955-566700 cardoctorbd@gmail.com Typically replies within a few hoursSend message ,"More info AboutPREMIUM REPAIRING AND SERVICINGAny branded car, All kinds of work Offers free Wi-Fi "
22,Car Heaven Workshop & Servicing Centre,https://web.facebook.com/CarHeavenWorkshopServicingCentre/?__tn__=%3C,['http://www.carheaven.com/']," 8,696 people like this 8,739 people follow this 6 people checked in here Automotive Repair Shop · Car dealership · Engineering Service ",Hours Open now 9:00 AM - 9:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.carheaven.com/ 01710-416016 bdcarheaven@gmail.com Send message 
23,CAR And CAR,https://web.facebook.com/CAR-And-CAR-1159795150869202/?__tn__=%3C,[]," 2,886 people like this 2,933 people follow this Car dealership ",Hours Open now 10:00 AM - 8:00 PM ,Additional contact info 01712-630303 carandcar.bd@gmail.com Send message ,More info AboutReconditioned car importer and seller 
24,Amir Car Windshield Glass Repair,https://web.facebook.com/Amir-Car-Windshield-Glass-Repair-103087825704108/?__tn__=%3C,[], 259 people like this 272 people follow this Glass Service ,Hours Always open ,Additional contact info 01863-627888 rakibhossain6362@gmail.com Very responsive to messagesSend message +880 1863-627888 ,More info AboutRepair Your Cracked Windshield 
25,A & N Auto Car Solution,https://web.facebook.com/anautocarsolution/?__tn__=%3C,['http://www.anautocarsolution.com/']," 7,727 people like this including 2 of your friends 7,763 people follow this Automotive Repair Shop · Car Wash ",Hours Always open ,Business details Price range  · $$$ ,Additional contact info http://www.anautocarsolution.com/ 01914-203664 info@anautocarsolution.com Send message 
26,"New York, New York",https://web.facebook.com/pages/New-York-New-York/108424279189115?__tn__=%3C,['http://www.nyc.gov/']," 13,686,365 people like this including 7 of your friends 13,644,662 people follow this 61,393,566 people checked in here City · City ",Business details Price range  · $$$ ,Additional contact info http://www.nyc.gov/ ,"More info Additional informationThe City of New York, often called New York City or simply New York, is the most populous city in the United States. Located at the southern tip of th… See more "
27,M&N Auto Group,https://web.facebook.com/mnautogroup/?__tn__=%3C,['http://www.mnautoleasing.com/']," 1,719 people like this 1,792 people follow this 1,270 people checked in here Automotive Repair Shop · Automotive Leasing Service · Car dealership ",Hours Closed now 8:30 AM - 6:00 PM ,Business details Price range  · $ ,Additional contact info http://www.mnautoleasing.com/ +1 718-676-0605 mnautobody@yahoo.com AwaySend message 
28,S&R AutoBody & Repair,https://web.facebook.com/srautobodyrepair/?__tn__=%3C,['https://sandrautobody.com/']," 2,537 people like this 2,565 people follow this 258 people checked in here Automotive Body Shop · Automotive Customization Shop · Automotive Repair Shop ",Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info https://sandrautobody.com/ +1 718-323-3570 darren@autobodyshop.com Send message 
29,G & E Auto Repair & Car Wash,https://web.facebook.com/GEAutoRepair/?__tn__=%3C,['http://www.geautorepair.com/'], 213 people like this 220 people follow this 151 people checked in here Automotive Repair Shop · Automotive Body Shop · Car dealership ,Hours Closed now 7:30 AM - 6:30 PM ,Business details Price range  · $ ,Additional contact info http://www.geautorepair.com/ +1 718-599-6056 geautorepair@aol.com Send message 
30,Mobile auto repair,https://web.facebook.com/Webringtheshoptoyou/?__tn__=%3C,['http://mobileautorepair.me/'], 113 people like this 115 people follow this Tire Dealer & Repair Shop · Automotive Repair Shop ,Business details Price range  · $ ,Additional contact info http://mobileautorepair.me/ +1 929-235-2919 mobileautorepairing@gmail.com Send message ,"More info AboutWe providing vip car repair service whether your stuck on the road, home, office, etc. Contact us you will be glad you did "
31,Luxury Auto Group,https://web.facebook.com/Luxury-Auto-Group-264386423619200/?__tn__=%3C,['https://www.luxuryautogroupny.com/'], 103 people like this 104 people follow this 23 people checked in here Automotive Repair Shop · Automotive Store · Motor vehicle company ,Hours Closed now 9:00 AM - 7:30 PM ,Additional contact info https://www.luxuryautogroupny.com/ +1 929-263-1065 Send message ,More info Additional informationWelcome to Luxury Auto Group. We are a full service New York used car dealer located in Bronx. 
32,New Era Complete Auto Care,https://web.facebook.com/neweracompleteautocare/?__tn__=%3C,[], 120 people like this 121 people follow this 7 people checked in here Tire Dealer & Repair Shop · Automotive Repair Shop · Wheel & Rim Repair Service ,Hours Closed now 9:30 AM - 5:30 PM ,Additional contact info +1 347-360-4505 newerautocare@gmail.com Send message ,"More info AboutNYC INSPECTION GENERAL MECHANIC >Technician Install, Repair, Balance and Rotate Tires for passenger and some commercial vehicles.Patch tire, Inspec… See more "
33,Midtown Center Auto Repair,https://web.facebook.com/midtowncenterautorepair/?__tn__=%3C,['https://midtowncenterautorepair.com/'], 963 people like this 967 people follow this 24 people checked in here Automotive Body Shop · Automotive Repair Shop · Motor vehicle company ,Hours Always open ,Business details Price range  · $$ ,Additional contact info https://midtowncenterautorepair.com/ +1 212-629-1028 mordechai@midtowncenterautorepair.com Send message 
34,Audi New Rochelle,https://web.facebook.com/AudiNewRochelle/?__tn__=%3C,['https://www.audinewrochelle.com/']," 2,600 people like this 2,653 people follow this 354 people checked in here Car dealership ",Hours Closed now 9:00 AM - 8:00 PM ,Business details Price range  · $$$$ ,Additional contact info https://www.audinewrochelle.com/ +1 914-775-5981 jmarra@westchesteraudi.com Send message 
35,Zoni Bros. Auto Repair & Motorcycle,https://web.facebook.com/Zoni-Bros-Auto-Repair-Motorcycle-299165356951524/?__tn__=%3C,['http://www.zonicustom.com/'], 315 people like this 335 people follow this 46 people checked in here Motorcycle Repair Shop · Automotive Repair Shop · Diagnostic Center ,Hours Closed now 7:30 AM - 5:30 PM ,Business details Price range  · $ ,Additional contact info http://www.zonicustom.com/ +1 718-492-6883 zonicustoms@gmail.com 
36,New Fix Rite Auto Sales,https://web.facebook.com/RiteAutoSales/?__tn__=%3C,['http://www.fixriteautorepair.com/'], 20 people like this 20 people follow this 2 people checked in here Oil Lube & Filter Service · Automotive Store · Automotive Repair Shop ,Hours Closed now 8:30 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.fixriteautorepair.com/ +1 718-893-6666 riteautosalesny@gmail.com Send message 
37,Master Auto Repair,https://web.facebook.com/MasterAutoRepair/?__tn__=%3C,['http://auto-glass-repair-bronx.ny-biz.co/'], 268 people like this 274 people follow this 44 people checked in here Automotive Repair Shop · Motor vehicle company · Automotive Glass Service ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $ ,Additional contact info http://auto-glass-repair-bronx.ny-biz.co/ +1 718-285-8693 masterautosale@outlook.com Send message 
38,JTI Auto Repair,https://web.facebook.com/jtiauto/?__tn__=%3C,['http://www.jtirepair.com/'], 518 people like this 528 people follow this 10 people checked in here Oil Lube & Filter Service · Automotive Repair Shop · Local Service ,Hours Closed now 8:00 AM - 5:00 PM ,Additional contact info http://www.jtirepair.com/ +1 845-878-3050 jtirepair@gmail.com Send message ,"More info AboutJTI's emphasis is on honesty and professionalism. We offer a friendly atmosphere for all customers, and are truly here to provide the best auto repair. Additional informationProviding quality car care in Pawling, New York since 2006.J.T.I. Auto Repair is owned and operated by Jerry Macchia.  Jerry is a long time resident … See more "
39,,,,,,,
40,Ventura's Car Care,https://web.facebook.com/VENTURASCARCARE/?__tn__=%3C,['http://www.acdelco.com/'], 360 people like this 365 people follow this 17 people checked in here Tire Dealer & Repair Shop · Automotive Repair Shop · Oil Lube & Filter Service ,Hours Closed now 7:00 AM - 7:00 PM ,Business details Price range  · $$ ,Additional contact info http://www.acdelco.com/ +1 516-746-4184 Send message 
41,Car Lovers Automotive,https://web.facebook.com/carloversautomotive/?__tn__=%3C,['http://carloversautomotive.com/'], 76 people like this 83 people follow this 15 people checked in here Automotive Repair Shop · Cars · Motor vehicle company ,Hours Closed now 8:00 AM - 5:00 PM ,Business details Price range  · $$ ,Additional contact info http://carloversautomotive.com/ +1 718-257-8210 contact@carloversautomotive.com Typically replies within minutesSend message 
42,A1-All German Car,https://web.facebook.com/A1-All-German-Car-447479188958631/?__tn__=%3C,['http://www.a-1allgerman.com/'], 44 people like this 44 people follow this 10 people checked in here Automotive Repair Shop ,Hours Closed now 7:00 AM - 4:30 PM ,Business details Price range  · $ ,Additional contact info http://www.a-1allgerman.com/ +1 212-567-9706 Send message 
43,Bisma Mobil Auto Repair,https://web.facebook.com/Bisma-Mobil-Auto-Repair-1183267551691785/?__tn__=%3C,['http://bismamobil.com/'], 136 people like this 139 people follow this 42 people checked in here Automotive Body Shop · Tire Dealer & Repair Shop · Automotive Repair Shop ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://bismamobil.com/ +1 212-582-9269 bismamobil@yahoo.com Send message 
44,"AN Auto Repair & Collision, Inc.",https://web.facebook.com/AN-Auto-Repair-Collision-Inc-1576161806010684/?__tn__=%3C,['http://anautocollision.com/'], 3 people like this 3 people follow this 1 person checked in here Automotive Body Shop · Automotive Repair Shop · Local Service ,Hours Closed now 8:00 AM - 8:00 PM ,Business details Price range  · $ ,Additional contact info http://anautocollision.com/ +1 718-606-9231 anautocollision@yahoo.com Send message 
45,Corvette Repair Inc.,https://web.facebook.com/corvetterepair/?__tn__=%3C,['http://corvetterepair.com/']," 2,087 people like this 2,215 people follow this 24 people checked in here Automotive Restoration Service · Automotive Body Shop · Automotive Store ",Hours Closed now 6:00 AM - 6:00 PM ,Business details Price range  · $ ,Additional contact info http://corvetterepair.com/ +1 516-568-1959 corvetterepair@yahoo.com Send message 
46,LS Auto Body & Repair Shop. LLC,https://web.facebook.com/LSAUTOBODY/?__tn__=%3C,['http://lsautobody.com/']," 721 people like this 759 people follow this 1,283 people checked in here Automotive Body Shop · Automotive Repair Shop · Oil Lube & Filter Service ",Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $$ ,Additional contact info http://lsautobody.com/ +1 347-529-3862 lsautobody@hotmail.com Send message 
47,Quality Auto Services,https://web.facebook.com/Quality-Auto-Services-1262619020562229/?__tn__=%3C,['http://www.nyctireandautocare.com/'], 603 people like this 622 people follow this 4 people checked in here Tire Dealer & Repair Shop · Automotive Repair Shop · Automotive Store ,Hours Closed now 8:00 AM - 6:00 PM ,Business details Price range  · $ ,Additional contact info http://www.nyctireandautocare.com/ +1 212-244-6237 Send message 
48,,,,,,,
